invoice_no,line_no,tariff_id,description,unit1,unit2,unit3,rate,amount_excl_tax,tax_rate_pct,tax_amount,total_incl_tax,calc_check,evidence
INV-61871,1,6.1,Waste Handling First Domestic Skip 2025-07-09 ~ 2025-07-13 (5 Days),1.0,1.0,1.0,700.0,700.0,0.0,0.0,700.0,True,"p1,row1"
INV01250701342,1,802.3A,Labour - Additional man hour - Normal (Other Cargo),1.0,3.0,3.0,45.0,405.0,0.0,0.0,405.0,True,"p1,row2"
